title,company_name,company_location,salary,link
Web Developer,Sierra Pacific Industries,"Sierra Pacific Industries3.2Hybrid remote in Anderson, CA 96007","$65,000 - $125,000 a yearFull-time",https://www.indeed.com/viewjob?jk=2a31aab4caaf1e74&fccid=536f3e9972af1296&vjs=3
Associate Web Developer,JPL/NASA,"JPL/NASA4.3Pasadena, CA 91109",Estimated $62.7K - $79.4K a yearFull-time,https://www.indeed.com/viewjob?jk=2b5158aacc894c4c&fccid=0b4439b9e8944c36&vjs=3
Web Developers,NKP Medical,"NKP MedicalManhattan Beach, CA 90266",Estimated $65.3K - $82.7K a year,https://www.indeed.com/viewjob?jk=2cf485f21a148656&fccid=d3f31685db52cac0&vjs=3
Full Stack Python Developer,DQLabs,"DQLabsPasadena, CA",Estimated $99.3K - $126K a year,https://www.indeed.com/viewjob?jk=da7ee4615bbfb470&fccid=5b6a1f577a253d01&vjs=3
Senior Web Developer,JPL/NASA,"JPL/NASA4.3Pasadena, CA 91109",Estimated $104K - $131K a yearFull-time +1,https://www.indeed.com/viewjob?jk=e5977f29c97f6ae8&fccid=0b4439b9e8944c36&vjs=3
GIS Developer Advisor,North America,"North America3.9Santa Barbara, CA",Estimated $108K - $137K a year,https://www.indeed.com/viewjob?jk=8d753dd1de9af200&fccid=fafde744f04f45dc&vjs=3
Python Developer,Mojo Solutions,"Mojo SolutionsSanta Ana, CA 92701 (Saddleback View area)",Estimated $80K - $101K a yearFull-time,https://www.indeed.com/viewjob?jk=b9066cc05185f361&fccid=66395c2690f86fb4&vjs=3
PYTHON DEVELOPER – SERVER SIDE,SpanIdea Systems,"SpanIdea SystemsMilpitas, CA 95035",Estimated $110K - $140K a yearFull-time,https://www.indeed.com/viewjob?jk=4cd55f3b16660994&fccid=0d33eb8110cc8c07&vjs=3
Entry Level Software Developer,Property Matrix,"Property Matrix4.8Irvine, CA","$60,000 - $75,000 a yearFull-timeMonday to Friday +1",https://www.indeed.com/viewjob?fccid=fd1ea58cbd0e81fe&vjs=3
Unity Developer (All Levels),Magnopus,"MagnopusRemote in Los Angeles, CA 90014",Estimated $81.2K - $103K a yearFull-time,https://www.indeed.com/viewjob?jk=41c61a663809215b&fccid=06eca086013d5968&vjs=3
Web Application Developer,Panasonic Avionics Corporation,"Panasonic Avionics Corporation3.5Irvine, CA",Estimated $92.5K - $117K a yearFull-time,https://www.indeed.com/viewjob?jk=a3d67813aab38710&fccid=a1488be096cd2e3f&vjs=3
Web Developer,Solana Technologies,"Solana TechnologiesSanta Rosa, CA",Estimated $58.1K - $73.5K a yearFull-time,https://www.indeed.com/viewjob?jk=49f4475f78b17e4f&fccid=d13de188005189db&vjs=3
Python Backend Engineer,LeetCode,"LeetCodePalo Alto, CA 94303",Estimated $86.8K - $110K a yearFull-time,https://www.indeed.com/viewjob?jk=a713a19188e1aac3&fccid=c6c00bc365a2497f&vjs=3
Platform Developer,E. & J. Gallo Winery,"E. & J. Gallo Winery4.1Modesto, CA",Estimated $92.8K - $118K a yearOn call,https://www.indeed.com/viewjob?jk=534de5c6c4a6546c&fccid=ad8550f9c12a770a&vjs=3
Web Developer,MindFire,"MindFireIrvine, CA 92614 (San Joaquin Marsh area)",Estimated $76.1K - $96.4K a year,https://www.indeed.com/viewjob?jk=bd3cf96e4692d259&fccid=95f2ceadd405a646&vjs=3
Full Stack Python Developer/Programmer/Engineer,Cotocus,"CotocusSacramento, CA 95822 (Airport area)",Estimated $97.4K - $123K a year,https://www.indeed.com/viewjob?jk=b8904053448f0d2c&fccid=67014df0f8d8ef3d&vjs=3
2023 Entry Level Software Engineer,BAE Systems,"BAE Systems3.8Temporarily Remote in San Diego, CA 92127","$49,789 - $84,153 a yearFull-time +1",https://www.indeed.com/viewjob?jk=5ab7d4accfaa0bb3&fccid=bae098e9666bd225&vjs=3
Web Applications Developer,UC San Diego,"UC San Diego4.2San Diego, CA 92093 (Torrey Pines area)","$75,850 - $92,000 a yearMonday to Friday",https://www.indeed.com/viewjob?jk=757feb7b30cec9d3&fccid=10b5a4abcc6bf067&vjs=3
Web Developer II,USC,"USC4.1Los Angeles, CA",$41.92 - $45.25 an hour,https://www.indeed.com/viewjob?jk=39ec1d5616ee2601&fccid=7455773bace145da&vjs=3
"Software Engineer, Early Career",Viasat,"Viasat3.7Remote in Carlsbad, CA","$88,950 a year",https://www.indeed.com/viewjob?jk=05ae37dce81a49f3&fccid=8b219f1987ef65ea&vjs=3
Front End Software Engineer,Three Ventures Technology,"Three Ventures TechnologyRoseville, CA 95678",Estimated $97.8K - $124K a year,https://www.indeed.com/viewjob?jk=bc1cc57ad68687f5&fccid=416db82b06bf0a44&vjs=3
Entry / Mid Level Python Developer,Rush Order,"Rush Order3.4Gilroy, CA 95020",Estimated $62.2K - $78.8K a year,https://www.indeed.com/viewjob?jk=819b16509e3abcc5&fccid=2bc5621ccc52a0d3&vjs=3
"Security Software Engineer, University Graduate (Security Platform)- 2023 Start (BS/MS)",TikTok,"TikTok3.4Mountain View, CA","$104,149 - $172,800 a year",https://www.indeed.com/viewjob?jk=c0f6913341860c2c&fccid=caed318a9335aac0&vjs=3
GIS Developer Advisor,ENGIE,"ENGIE3.6Santa Barbara, CA",Estimated $96.4K - $122K a year,https://www.indeed.com/viewjob?jk=62b3b062fa40ff92&fccid=52c6413667d142d3&vjs=3
Library Web Developer/Designer,"California State University, Los Angeles","California State University, Los Angeles4.2Los Angeles, CA 90032 (El Sereno area)","$4,678 - $11,547 a monthFull-time +1Monday to Friday",https://www.indeed.com/viewjob?jk=9e61b86bd0858206&fccid=00877b4809fa2d02&vjs=3
Back End Developer,Underdog.io,"Underdog.ioRemote in San Francisco, CA","$150,539 - $182,687 a yearFull-time8 hour shift",https://www.indeed.com/viewjob?fccid=50ea53fe8d1ef3d9&vjs=3
Web/Cloud Developer,Antsle,"Antsle5.0San Diego, CA",Estimated $92.3K - $117K a year,https://www.indeed.com/viewjob?jk=4a913c521ca2de27&fccid=0dfaf61aa22a88d4&vjs=3
Software Developer,Ventura Pranas,"Ventura PranasSanta Monica, CA 90403 (Mid-City area)",Estimated $79.1K - $100K a year,https://www.indeed.com/viewjob?jk=ee52bcde80cd0c2f&fccid=e1715a9d947289a6&vjs=3
Software Developer,CACI,"CACI3.8Norco, CA 92860",Full-time,https://www.indeed.com/viewjob?jk=0fd46448745c69d7&fccid=5fca42294cdbc080&vjs=3
Application Developer - Frontend,SafeAI,"SafeAISanta Clara, CA",Estimated $110K - $139K a yearFull-time,https://www.indeed.com/viewjob?jk=33545e9f0a7417ef&fccid=33aafeb886decfb1&vjs=3
Back End Web Developer,Nexlogica,"NexlogicaLos Angeles, CA",$85.6K - $108K a year (Estimated),https://www.indeed.com/viewjob?jk=241f83983c193839&fccid=2beec41e83b6ee35&vjs=3
Web Designer & Developer - SFPD (1064),City and County of San Francisco,"City and County of San Francisco3.9San Francisco, CA 94158 (Mission Bay area)","$127,088 - $172,198 a yearFull-timeMonday to Friday +1",https://www.indeed.com/viewjob?jk=f9e630f1f7e173da&fccid=a411072d5a46f13f&vjs=3
PHP Web Application Developer,Iron Systems,"Iron Systems3.2Fremont, CA 94539 (East Industrial area)",$71.3K - $90.3K a year (Estimated),https://www.indeed.com/viewjob?jk=43c0a41989af4cd7&fccid=39e7cc3fd9e2cd7d&vjs=3
Full Stack Developer | Job Code: 22-119,The Lundquist Institute,"The Lundquist InstituteTorrance, CA",$92.1K - $117K a year (Estimated),https://www.indeed.com/viewjob?jk=27fba884aadb3ed3&fccid=3a8f5340a7d12623&vjs=3
Backend Developer (PHP/Python),Logicnext,"LogicnextPasadena, CA 91101 (Pasadena area)",$107K - $136K a year (Estimated),https://www.indeed.com/viewjob?jk=eb960af0ba882d64&fccid=e31bc081e8042daf&vjs=3
Library Web Developer/Designer,California State University,"California State UniversityLos Angeles, CA 90032 (El Sereno area)","$4,372 - $10,792 a monthFull-time +1Monday to Friday",https://www.indeed.com/viewjob?jk=25e1f9881ca05be9&fccid=653b5d3a01ddb037&vjs=3
Software Engineer I,"O'Neil Digital Solutions, LLC","O'Neil Digital Solutions, LLC3.1Hybrid remote in Los Angeles, CA 90066",$95.2K - $121K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=5e38cab7d3ebab00&fccid=528c373d13c07ad4&vjs=3
WEB DEVELOPER - PLATFORM,Perfect World Entertainment,"Perfect World Entertainment3.4Redwood City, CA 94065 (Dolphin area)","$100,000 - $125,000 a yearFull-time",https://www.indeed.com/viewjob?jk=f1c045976a295c64&fccid=338c4f665ee25f7c&vjs=3
Fullstack Software Engineer,Cover Technologies,"Cover TechnologiesGardena, CA 90247",$78.6K - $99.5K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=9ded7d25aa2f7b70&fccid=48e86c29cc93d5ea&vjs=3
Full Stack Developer,Mediastorm,"MediastormRemote in Los Gatos, CA",$99.8K - $126K a year (Estimated),https://www.indeed.com/viewjob?jk=164b6585b785d569&fccid=48efb808137a0dc2&vjs=3
Software Engineer I - DreamCatcher,Epsilon Systems Inc,"Epsilon Systems Inc3.8San Diego, CA 92123 (Kearny Mesa area)",$94K - $119K a year (Estimated),https://www.indeed.com/viewjob?jk=9625cc5484b29423&fccid=cabf81d6461e3612&vjs=3
Research Software Engineer (Entry Level),RAND Corporation,"RAND Corporation3.7Los Angeles, CA",$72.4K - $91.7K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=cc48b963555782a9&fccid=8921eefe52b6fa61&vjs=3
"Software Engineer, Front End",Merlyn Mind,"Merlyn MindRemote in San Francisco, CA",$133K - $168K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=7f0ffada46417936&fccid=0dcb5ad91a11b946&vjs=3
"Full Stack Web Developer, Senior","HX5, LLC","HX5, LLC4.2Mountain View, CA","$130,448 - $195,673 a yearFull-time",https://www.indeed.com/viewjob?jk=44fdf8342d0cebec&fccid=60e25d98d86a84d8&vjs=3
CAD Engineer - Full-Stack Web Developer,Apple,"Apple4.1Cupertino, CA",NA,https://www.indeed.com/viewjob?jk=e6f766335019fa63&fccid=c1099851e9794854&vjs=3
"PHP, MySQL and AJAX Developer",Comentum Corp,"Comentum CorpSan Diego, CA 92121 (Sorrento Valley area)",$77.3K - $97.9K a year (Estimated)Full-time +2Weekend availability +2,https://www.indeed.com/viewjob?jk=1e6a2767ea2a20a3&fccid=8ff10de9076123bd&vjs=3
"Full Stack Engineer, Autonomy Software",Tesla,"Tesla3.4Palo Alto, CA",$92.5K - $117K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=7c200a6c1bb36f47&fccid=86e9be6ce380173e&vjs=3
Scientific Software Developer,UC San Diego,"UC San Diego4.2San Diego, CA 92093 (Torrey Pines area)","$71,000 - $110,000 a yearMonday to Friday",https://www.indeed.com/viewjob?jk=53a25617f61e1b8c&fccid=10b5a4abcc6bf067&vjs=3
UI Developer,Lawrence Berkeley National Laboratory,"Lawrence Berkeley National Laboratory4.2San Francisco Bay Area, CA","$8,658 - $14,610 a month",https://www.indeed.com/viewjob?jk=3572d1414e4ecc8c&fccid=5bee64c47451d1c2&vjs=3
Software Engineer 3,PayPal,PayPal3.9Remote in California,"$72,700 - $176,000 a yearFull-time",https://www.indeed.com/viewjob?jk=eec1e4174e2e5ac0&fccid=978d9fd9799d55a8&vjs=3
Back-End Developer,Mediastorm,"MediastormRemote in Los Gatos, CA",$110K - $140K a year (Estimated),https://www.indeed.com/viewjob?jk=b3e0566d7300301c&fccid=48efb808137a0dc2&vjs=3
Senior Web Developer,Keyseries,"KeyseriesSunnyvale, CA",$97.4K - $123K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=a45a8c37967677d1&fccid=25ddcfc98114b689&vjs=3
Senior Full Stack Web Developer,Absolute Web Services,"Absolute Web Services5.0Los Angeles, CA 90067 (Century City area)",$108K - $137K a year (Estimated),https://www.indeed.com/viewjob?jk=0a205bb4d94ff096&fccid=f930dd376241be17&vjs=3
Full Stack Engineer - Remote,ICW Group,"ICW Group2.8Remote in San Diego, CA 92128",$101K - $127K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=3c6a2e413aebb8a4&fccid=c2e9aa4d8beadd05&vjs=3
Full Stack Developer,ThinkIQ,"ThinkIQRemote in Aliso Viejo, CA","$135,000 - $152,000 a year",https://www.indeed.com/viewjob?jk=bd5d05379466fe63&fccid=b0409111c32d55f7&vjs=3
Software Engineer II,"O'Neil Global Advisors, Inc.","O'Neil Global Advisors, Inc.Remote in Los Angeles, CA",$104K - $132K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=a532d68c4df57005&fccid=e271dd32bd37f373&vjs=3
Web and Application Developer,TGS Management Company,"TGS Management CompanyIrvine, CA 92604",NA,https://www.indeed.com/viewjob?jk=82de08dea5b67c01&fccid=d3df48115cb7f857&vjs=3
Software Engineer - Back End,Fluxergy Inc,"Fluxergy Inc4.5Irvine, CA 92618 (East Industrial Complex area)","$100,000 - $141,000 a yearFull-time",https://www.indeed.com/viewjob?jk=ec6e6b6e79f828ed&fccid=3fefe4e856684a5a&vjs=3
Full Time Senior IOS and Web Developer,SeaDrone,"SeaDronePalo Alto, CA 94303",$111K - $141K a year (Estimated)Full-time,https://www.indeed.com/viewjob?jk=1bd69b945d367aae&fccid=946fcfeaee736e93&vjs=3
"Senior Software Engineer, Web Frontend",Anomalo,"AnomaloRemote in San Francisco, CA","$200,000 - $260,000 a year",https://www.indeed.com/viewjob?jk=706e15bef24a506a&fccid=6a14be574715b577&vjs=3
Full Stack Web Application Developer (7300U) 37136,University of California Berkeley,"University of California Berkeley4.2Berkeley, CA 94720","$85,000 - $100,000 a year Employer est.",https://www.indeed.com/viewjob?jk=373eb28503ad8cf5&fccid=db52f1353185d77b&vjs=3
Software Engineer,UnitedMasters,"UnitedMastersRemote in San Francisco, CA","$120,000 - $160,000 a year Employer est.",https://www.indeed.com/viewjob?jk=160572e3ec7d072e&fccid=9b6d53a95ff00a81&vjs=3
Full Stack (MEAN Stack) Developer,VComply Technologies,"VComply TechnologiesPalo Alto, CA",$88.5K - $112K a year Indeed est.,https://www.indeed.com/viewjob?jk=ac1f68ad3d1018b1&fccid=082588c86a4cea51&vjs=3
Software Test Engineer,Tesla,"Tesla3.4Fremont, CA",Full-time,https://www.indeed.com/viewjob?jk=ec8bac6ed0346f67&fccid=86e9be6ce380173e&vjs=3
Software Engineer (7300U) - BSL,University of California Berkeley,"University of California Berkeley4.2Berkeley, CA 94720",$89.5K - $113K a year Indeed est.Contract,https://www.indeed.com/viewjob?jk=e017196a10a7b6e8&fccid=db52f1353185d77b&vjs=3
Web Programmer,TSMC,"TSMC3.5San Jose, CA","$76,000 - $114,500 a year Employer est.",https://www.indeed.com/viewjob?jk=d8b2eda4a68f09d2&fccid=76fa33c24b5bd693&vjs=3
Backend Engineer,Windfall,"Windfall4.2San Francisco, CA",$116K - $147K a year Indeed est.Full-time,https://www.indeed.com/viewjob?jk=6c47c86a2e1f7d6b&fccid=e1f42ce2174fbb19&vjs=3
Frontend Engineer (Hybrid),Beans.ai,"Beans.aiPalo Alto, CA",$118K - $150K a year Indeed est.,https://www.indeed.com/viewjob?jk=b202d29635e87624&fccid=0f840cd3bc135582&vjs=3
Front-End Software Engineer,Beyond Limits,"Beyond Limits3.7Glendale, CA 91203",$96.4K - $122K a year Indeed est.Full-time,https://www.indeed.com/viewjob?jk=061bae035f432221&fccid=46b1aa6b464bae94&vjs=3
"Frontend Software Engineer, Infrastructure Platform",TikTok,"TikTok3.4Mountain View, CA","$111,520 - $229,600 a year Employer est.",https://www.indeed.com/viewjob?jk=802fab5e9669d0a5&fccid=caed318a9335aac0&vjs=3
Senior Full Stack Web Developer,KBR,"KBR4.1Moffett Field, CA",Full-time,https://www.indeed.com/viewjob?jk=a51288209205923c&fccid=cbfa56f19cc95796&vjs=3
"SDET, Software Development Engineer in Test - Test Automation & Architecture",TikTok,"TikTok3.4Mountain View, CA","$111,520 - $229,600 a year Employer est.",https://www.indeed.com/viewjob?jk=3ec10c50cd1a1127&fccid=caed318a9335aac0&vjs=3
"Software Engineer, Full Stack, 11+ Years of Experience",Snapchat,"Snapchat3.6Los Angeles, CA 90291 (Venice area)","$230,000 - $255,000 a year Employer est.Full-time",https://www.indeed.com/viewjob?jk=4f5cb3a9c1228819&fccid=f368300325e8e8bc&vjs=3
Applications Developer,Northeastern University,"Northeastern University4.2Oakland, CA","$95,130 - $121,295 a year Employer est.Full-time",https://www.indeed.com/viewjob?jk=2c229827998955bf&fccid=a9383e8362da1c50&vjs=3
Software Engineer - Web Services,Lawrence Livermore National Laboratory,"Lawrence Livermore National Laboratory4.2Livermore, CA 94550","$123,960 - $166,992 a year Employer est.Full-time",https://www.indeed.com/viewjob?jk=b84e8707cc5f8676&fccid=26727f1861532c63&vjs=3
